shared name	CAN_name	CAN_molecularFormula	CAN_adduct	CAN_most specific class	CAN_level 5	CAN_subclass	CAN_class	CAN_superclass	CAN_all classifications
21616	11_CARA_HILIC_pos_SIRIUS_merge_21616	C7H5NO2	[M + H]+	Furans			Furans	Organoheterocyclic compounds	Organic compounds; Organoheterocyclic compounds; Furans; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Nitriles; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
3853	767_CARA_HILIC_pos_SIRIUS_merge_3853	C44H87NO14	[M - H2O + H]+	Glycosphingolipids		Glycosphingolipids	Sphingolipids	Lipids and lipid-like molecules	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aminoglycosides; Primary alcohols; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Monoalkylamines; Carboxylic acid derivatives; Carboxylic acid esters; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Fatty acyl glycosides; Carbonyl compounds; 1,2-aminoalcohols; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Amines; Primary amines; Alkanolamines; Glycosphingolipids; Aminosaccharides; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
8905	2825_CARA_HILIC_pos_SIRIUS_merge_8905	C32H64N2O7	[M - H4O2 + H]+	N-acyl-alpha amino acids and derivatives	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
28638	1614_CARA_HILIC_pos_SIRIUS_merge_28638	C6H7NO4	[M + H]+	Amino acids and derivatives	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
8918	2498_CARA_HILIC_pos_SIRIUS_merge_8918	C46H90N4O6	[M + H]+	Sphingolipids			Sphingolipids	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
2149	3268_CARA_HILIC_pos_SIRIUS_merge_2149	C15H26N4O4	[M + H]+	Dipeptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities
18207	3611_CARA_HILIC_pos_SIRIUS_merge_18207	C8H18N4O2	[M + Na]+	Carboximidamides		Carboximidamides	Organonitrogen compounds	Organic nitrogen compounds	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Carboximidamides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
9608	3136_CARA_HILIC_pos_SIRIUS_merge_9608	C25H28FN9O5	[M - H2O + H]+	Dipeptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Halobenzenes; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Benzoic acids and derivatives; Benzamides; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Azoles; Carboxylic acid amides; Aryl fluorides; Carboxylic acid derivatives; Fluorobenzenes; N-acyl-alpha amino acids and derivatives; Diazines; Organofluorides; Secondary alcohols; Secondary carboxylic acid amides; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Aryl halides; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities
1330	3371_CARA_HILIC_pos_SIRIUS_merge_1330	C19H43NO3	[M - H4O2 + H]+	Fatty Acyls			Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Secondary alcohols; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
8069	3446_CARA_HILIC_pos_SIRIUS_merge_8069	C5H16O10	[M - H4O2 + H]+	Monosaccharides	Monosaccharides	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Primary alcohols; Organooxygen compounds; Monosaccharides; Secondary alcohols; Polyols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
182	5206_CARA_HILIC_pos_SIRIUS_merge_182	C18H41NO8	[M - H2O + H]+	Amino acids	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acids; Secondary alcohols; Carbonyl compounds; 1,2-aminoalcohols; Amines; Primary amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1715	4205_CARA_HILIC_pos_SIRIUS_merge_1715	C40H66N4O2	[M - H2O + H]+	N-acyl amines	N-acyl amines	Fatty amides	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Fatty Acyls; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
5454	2687_CARA_HILIC_pos_SIRIUS_merge_5454	C21H24Cl2N2	[M + Na]+	Halobenzenes		Halobenzenes	Benzene and substituted derivatives	Benzenoids	Organic compounds; Organoheterocyclic compounds; Halobenzenes; Organohalogen compounds; Organonitrogen compounds; Alkyl chlorides; Organochlorides; Substituted pyrroles; Benzene and substituted derivatives; Benzenoids; Alkyl halides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities
5009	4898_CARA_HILIC_pos_SIRIUS_merge_5009	C9H21NO5	[M - H2O + H]+	Monosaccharides	Monosaccharides	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Monosaccharides; Secondary alcohols; Amines; Primary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
8217	4640_CARA_HILIC_pos_SIRIUS_merge_8217	C14H27B2NO2	[M + Na]+	N-acyl amines	N-acyl amines	Fatty amides	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Organometallic compounds; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Organometalloid compounds; Secondary carboxylic acid amides; Carbonyl compounds; Organoboron compounds; Organic salts; Fatty Acyls; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Organopnictogen compounds; Alkylboranes; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
12733	520_CARA_HILIC_pos_SIRIUS_merge_12733	C11H15NO2	[M - H4O2 + H]+	Aralkylamines	Aralkylamines	Amines	Organonitrogen compounds	Organic nitrogen compounds	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Amines; Aralkylamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
663	1348_CARA_HILIC_pos_SIRIUS_merge_663	C24H31N7O4	[M - H2O + H]+	Phenol ethers			Phenol ethers	Benzenoids	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alkyl aryl ethers; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Primary amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities
14511	5283_CARA_HILIC_pos_SIRIUS_merge_14511	C52H93N3O7	[M - H4O2 + H]+	Sphingolipids			Sphingolipids	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
3047	4859_CARA_HILIC_pos_SIRIUS_merge_3047	C19H22O5	[M - H2O + H]+	Benzoic acid esters	Benzoic acid esters	Benzoic acids and derivatives	Benzene and substituted derivatives	Benzenoids	Organic compounds; Alcohols and polyols; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Benzyloxycarbonyls; Carboxylic acid esters; Benzoic acid esters; Secondary alcohols; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
12984	10_CARA_HILIC_pos_SIRIUS_merge_12984	C9H19FN4O5	[M - H4O2 + H]+	Dipeptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Halogenated fatty acids; Alkyl fluorides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Organofluorides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Alkyl halides; Fatty Acyls; Organic oxides; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities
5530	6006_CARA_HILIC_pos_SIRIUS_merge_5530	C33H61NO5	[M + H3N + H]+	N-acyl amines	N-acyl amines	Fatty amides	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
9540	2656_CARA_HILIC_pos_SIRIUS_merge_9540	C8H12O5	[M + H3N + H]+	Dicarboxylic acids and derivatives		Dicarboxylic acids and derivatives	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
8052	1045_CARA_HILIC_pos_SIRIUS_merge_8052	C21H46N2O4	[M + Na]+	Valine and derivatives	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Amines; Primary amines; Hydrocarbon derivatives; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
14724	5830_CARA_HILIC_pos_SIRIUS_merge_14724	C26H35Br4N3O5	[M + Na]+	Aralkylamines	Aralkylamines	Amines	Organonitrogen compounds	Organic nitrogen compounds	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Organobromides; Benzenoids; Amines; Aralkylamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
18790	1547_CARA_HILIC_pos_SIRIUS_merge_18790	C36H67N3O5	[M + H]+	Peptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
6022	5811_CARA_HILIC_pos_SIRIUS_merge_6022	C40H85NO5	[M - H4O2 + H]+	Ceramides		Ceramides	Sphingolipids	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Ceramides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Polyols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
20217	4329_CARA_HILIC_pos_SIRIUS_merge_20217	C20H40O8	[M + H3N + H]+	Triradylcglycerols		Triradylcglycerols	Glycerolipids	Lipids and lipid-like molecules	Organic compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Triradylcglycerols; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
24359	5850_CARA_HILIC_pos_SIRIUS_merge_24359	C21H30O4	[M + K]+	Oxosteroids		Oxosteroids	Steroids and steroid derivatives	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Steroids and steroid derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Oxosteroids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
4584	1459_CARA_HILIC_pos_SIRIUS_merge_4584	C46H93N3O3	[M + Na]+	Ceramides		Ceramides	Sphingolipids	Lipids and lipid-like molecules	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Ceramides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
19458	5951_CARA_HILIC_pos_SIRIUS_merge_19458	C17H28O2	[M - H2O + H]+	Secondary alcohols	Secondary alcohols	Alcohols and polyols	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Alcohols and polyols; Organooxygen compounds; Secondary alcohols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
17236	1127_CARA_HILIC_pos_SIRIUS_merge_17236	C11H18O9	[M + Na]+	Beta hydroxy acids and derivatives		Beta hydroxy acids and derivatives	Hydroxy acids and derivatives	Organic acids and derivatives	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Hydroxy acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Polyols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
3016	2837_CARA_HILIC_pos_SIRIUS_merge_3016	C19H10ClF3N4O6S	[M + K]+	Benzenesulfonamides		Benzenesulfonamides	Benzene and substituted derivatives	Benzenoids	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Benzenesulfonamides; Halobenzenes; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Alkyl fluorides; Aryl chlorides; Chlorobenzenes; Sulfonyls; Organochlorides; Organofluorides; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl halides; Alkyl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Halomethanes; Trihalomethanes; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities
441	593_CARA_HILIC_pos_SIRIUS_merge_441	C23H26FN5O7S	[M + H]+	Amino acids and derivatives	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Halobenzenes; Pyrimidines and pyrimidine derivatives; Benzoic acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Aryl fluorides; Carboxylic acid derivatives; Fluorobenzenes; Thioethers; Diazines; Organofluorides; Secondary carboxylic acid amides; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Primary amines; Aryl halides; Dialkylthioethers; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities
2051	6287_CARA_HILIC_pos_SIRIUS_merge_2051	C26H55NO4	[M - H4O2 + H]+	1,2-aminoalcohols	Alkanolamines	Amines	Organonitrogen compounds	Organic nitrogen compounds	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Secondary alcohols; 1,2-aminoalcohols; Polyols; Amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
22849	4501_CARA_HILIC_pos_SIRIUS_merge_22849	C32H58O10	[M + H3N + H]+	Fatty Acyls			Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organooxygen compounds; Dialkyl ethers; Secondary alcohols; Fatty Acyls; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
3362	2076_CARA_HILIC_pos_SIRIUS_merge_3362	C23H44N2O3	[M - H4O2 + H]+	N-acyl amines	N-acyl amines	Fatty amides	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Organic carbonic acids and derivatives; Ureas; N-acyl amines; Cyclic alcohols and derivatives; Secondary alcohols; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
4526	890_CARA_HILIC_pos_SIRIUS_merge_4526	C22H46N2O7S2	[M - H4O2 + H]+	N-acyl-alpha amino acids	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Organic disulfides; Sulfenyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Cysteine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1	358_CARA_HILIC_pos_SIRIUS_merge_1	C20H37NO11	[M - H2O + H]+	Aminoglycosides	Aminosaccharides	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aminoglycosides; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Hydroxy acids and derivatives; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; 1,2-aminoalcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Amines; Primary amines; Alkanolamines; Aminosaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
2238	4335_CARA_HILIC_pos_SIRIUS_merge_2238	C18H34O5	[M - H4O2 + H]+	Lineolic acids and derivatives		Lineolic acids and derivatives	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Hydroxy fatty acids; Lineolic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Polyols; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
6120	3404_CARA_HILIC_pos_SIRIUS_merge_6120	C36H72N4O5	[M + K]+	Amino acids and derivatives	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Benzenoids; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
27841	202_CARA_HILIC_pos_SIRIUS_merge_27841	C24H50O23	[M - H2O + H]+	Oligosaccharides	Oligosaccharides	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Oligosaccharides; Ethers; Primary alcohols; Organooxygen compounds; Acetals; Secondary alcohols; Fatty acyl glycosides; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Sugar alcohols; Polyols; Fatty Acyls; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
8912	5598_CARA_HILIC_pos_SIRIUS_merge_8912	C18H34BNO8	[M - H4O2 + H]+	N-acyl amines	N-acyl amines	Fatty amides	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Organometallic compounds; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Organometalloid compounds; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Polyols; Amines; Primary amines; Organoboron compounds; Fatty Acyls; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Organopnictogen compounds; Alkylboranes; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
