rank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
652	2	2	N/A	-149.2783797267711	0.9442211055276383	10.192106433300221	C32H50O6	[M - H2O + H]+	KBYMABZAFBTCMQ	InChI=1S/C32H50O6/c1-18-11-14-32(26(35)36)16-15-29(6)20(24(32)31(18,8)37)9-10-22-28(5)13-12-23(38-19(2)33)27(3,4)25(28)21(34)17-30(22,29)7/h9,18,21-25,34,37H,10-17H2,1-8H3,(H,35,36)	3-O-acetyluncaricacid	CC1CCC2(CCC3(C(=CCC4C3(CC(C5C4(CCC(C5(C)C)OC(=O)C)C)O)C)C2C1(C)O)C)C(=O)O	5.19999981	53356215;71590706	COCONUT:(CNP0224309);MeSH:(53356215 71590706);PubChem:(53356215 71590706);PubMed;CHEBI:(68102)	2097254	513.3576	142.695	153_CARA_C18_pos_SIRIUS_9789
653	1	1	N/A	-223.72536153882874	0.9135678391959798	10.708355317184518	C17H13Br5O5	[M + Na]+	GXRNTNZGKHIUAC	InChI=1S/C17H13Br5O5/c1-24-7-5-6(9(18)12(21)15(7)25-2)14(23)8-10(19)13(22)17(27-4)16(26-3)11(8)20/h5H,1-4H3	null	COC1=C(C(=C(C(=C1)C(=O)C2=C(C(=C(C(=C2Br)Br)OC)OC)Br)Br)Br)OC	6.5999999	50908843	COCONUT:(CNP0133172);Natural Products:(UNPD44295);PubChem:(50908843);SuperNatural:(SN00247087);PubMed	3178562	714.6532	211.266	3998_CARA_C18_pos_SIRIUS_26292
654	4	2	N/A	-115.52528851533727	0.3251256281407036	21.43619778366384	C34H66O4	[M + H3N + H]+	IKVCSHRLYCDSFD	InChI=1S/C34H66O4/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-33(35)37-31-32-38-34(36)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h3-32H2,1-2H3	Ethylene palmitate	CCCCCCCCCCCCCCCC(=O)OCCOC(=O)CCCCCCCCCCCCCCC	14.6999998	69347	NORMAN:(NS00002894);PubChem class - safety and toxic;PubChem:(69347)	67371010	556.5255	233.318	1159_CARA_C18_pos_SIRIUS_3619
655	1	3	N/A	-430.0423899259868	0.021105527638190957	29.933561021879	C34H49N5O12	[M + Na]+	CICZEXPNYSZNEI	InChI=1S/C34H49N5O12/c1-22(20-28(41)35-24-13-8-11-19-39(48)33(24)45)51-34(46)25(14-9-10-18-38(47)29(42)16-4-3-5-17-30(43)49-2)36-31(44)26-21-50-32(37-26)23-12-6-7-15-27(23)40/h6-7,12,15,22,24-26,40,47-48H,3-5,8-11,13-14,16-21H2,1-2H3,(H,35,41)(H,36,44)	null	CC(CC(=O)NC1CCCCN(C1=O)O)OC(=O)C(CCCCN(C(=O)CCCCCC(=O)OC)O)NC(=O)C2COC(=N2)C3=CC=CC=C3O	1.29999995	135506433;135522232;135522233	PubChem:(135506433 135522232 135522233);CHEBI:(61152)	34	742.3303	38.787	7007_CARA_C18_pos_SIRIUS_6653
656	4	6	N/A	-179.15632983909765	0.19346733668341712	17.257615174875244	C32H43N7O8	[M - H2O + H]+	NNCPNXNWAQSRCG	InChI=1S/C32H43N7O8/c1-18(2)27(28(35)43)39-32(47)23(16-20-11-7-4-8-12-20)38-30(45)22(13-14-26(41)42)36-31(46)24(17-25(34)40)37-29(44)21(33)15-19-9-5-3-6-10-19/h3-12,18,21-24,27H,13-17,33H2,1-2H3,(H2,34,40)(H2,35,43)(H,36,46)(H,37,44)(H,38,45)(H,39,47)(H,41,42)	Fulicin	CC(C)C(C(=O)N)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)N)NC(=O)C(CC2=CC=CC=C2)N	-0.265102059	132035	MeSH:(132035);PubChem:(132035);PubMed	70	636.3116	39.367	6382_CARA_C18_pos_SIRIUS_26306
657	4	2	N/A	-102.03341087437397	0.9944723618090451	20.45015598836578	C37H70O5	[M + H3N + H]+	SPBROLJVHYTNGF	InChI=1S/C37H70O5/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-37(40)42-35(33-38)34-41-36(39)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h14,16,35,38H,3-13,15,17-34H2,1-2H3	Diacylglycerol(16:1/18:0)	CCCCCCCCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCC=CCCCCCC	14.1999998	9543691;14275375;85034041;87585829	COCONUT:(CNP0082449);HMDB:(7129);PubChem:(9543691 14275375 85034041 87585829);SuperNatural:(SN00216968);YMDB Mine;CHEBI:(84418);PubChem class - bio and metabolites	34379661354	612.5518	199.645	5720_CARA_C18_pos_SIRIUS_21203
658	3	3	N/A	-45.90734195174436	0.9999999999999999	34.01457895414611	C18H34O3	[M + H3N + H]+	LQUHZVLTTWMBTO	InChI=1S/C18H34O3/c19-17-15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16-18(20)21/h1-2,19H,3-17H2,(H,20,21)	18-Hydroxy-9-octadecenoic acid	C(CCCCO)CCCC=CCCCCCCCC(=O)O	5.69999981	3014191;5312773;6365155;86289578	SuperNatural:(SN00232344 SN00334713);Plantcyc:(18-HYDROXYOLEATE CPD-7013);PubMed;COCONUT:(CNP0163525 CNP0176329);KNApSAcK:(7439);Natural Products:(UNPD44481 UNPD169392);PubChem:(3014191 5312773 6365155 86289578);YMDB Mine;CHEBI:(78424 79312);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C19616);Biocyc:(18-HYDROXYOLEATE)	51559696754	316.2842	47.488	6755_CARA_C18_pos_SIRIUS_690
659	3	6	N/A	-62.45746745353768	0.04472361809045228	7.929137967548145	C27H46O2	[M - H4O2 + H]+	FYHRJWMENCALJY	InChI=1S/C27H46O2/c1-18(17-28)6-5-7-19(2)23-10-11-24-22-9-8-20-16-21(29)12-14-26(20,3)25(22)13-15-27(23,24)4/h8,18-19,21-25,28-29H,5-7,9-17H2,1-4H3	26-Hydroxycholesterol	CC(CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)CO	7.0999999	99470;123976;313019;9887391;13873473;13873474;13873476;13873477;21140612;42608394;44376368;57021623;50990021;50990024;53824770;56989127;70833944;87865130;89434229;91971526;101032867;101707612;101368385;126963441;133053628;129705611;129831077;129847502;133562451;134688497;136212450;137704581	HMDB:(2103);SuperNatural:(SN00272493 SN00271673 SN00295884);additional;MeSH:(99470 123976 313019 50990021 126963441 129705611 133562451 137704581);Plantcyc:(CPD-7287);PubMed;COCONUT:(CNP0280827);Natural Products:(UNPD154918 UNPD60603 UNPD109724);PubChem:(99470 123976 313019 9887391 13873473 13873474 13873476 13873477 21140612 42608394 44376368 57021623 50990021 50990024 53824770 56989127 70833944 87865130 89434229 91971526 101032867 101707612 101368385 126963441 133053628 129705611 129831077 129847502 133562451 134688497 136212450 137704581);YMDB Mine;CHEBI:(17703 76591);PubChem class - bio and metabolites;KEGG:(C15610);Training Set;Biocyc:(CPD-7287 SMA-0000467 CPD-19070)	34380368238	367.3334	299.666	925_CARA_C18_pos_SIRIUS_9750
660	3	1	N/A	-250.1696100298164	0.013065326633165833	6.357982664858527	C34H65NO4	[M - H4O2 + H]+	BGCIWBMYVKHZNX	InChI=1S/C34H65NO4/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-32(37)31(30-36)35-34(39)33(38)29-27-25-23-21-18-16-14-12-10-8-6-4-2/h19-20,26,28,31-33,36-38H,3-18,21-25,27,29-30H2,1-2H3,(H,35,39)	N-[(4E,8E)-1,3-dihydroxyoctadeca-4,8-dien-2-yl]-2-hydroxyhexadecanamide	CCCCCCCCCCCCCCC(C(=O)NC(CO)C(C=CCCC=CCCCCCCCCC)O)O	11.1999998	15609679;15609680;21778126;90658591	COCONUT:(CNP0076275);PubChem:(15609679 15609680 21778126 90658591);Biocyc:(CPD-8434)	2099202	516.4775	179.784	5631_CARA_C18_pos_SIRIUS_5700
661	1	3	N/A	-69.53149285834704	0.9165829145728643	14.169300222413877	C6H14O4	[M + Na]+	ZIBGPFATKBEMQZ	InChI=1S/C6H14O4/c7-1-3-9-5-6-10-4-2-8/h7-8H,1-6H2	3,8-diol	C(COCCOCCO)O	-0.920538723	8172;10441896;59078282;100996608;131674246	PubChem class - food;Maconda:(CON00070);ZINC bio:(ZINC01690436);HSDB:(112-27-6);MeSH:(8172);PubMed;NORMAN:(NS00002182);COCONUT:(CNP0021434);PubChem:(8172 10441896 59078282 100996608 131674246);CHEBI:(44926);PubChem class - bio and metabolites;PubChem class - safety and toxic;Biocyc:(CPD-20409);KEGG Mine	8810409574	173.079	13.137	7586_CARA_C18_pos_SIRIUS_4567
662	1	1	N/A	-169.31311693217538	0.9959798994974874	33.59312092887631	C44H87NO8	[M - H4O2 + H]+	JMHGBISEAGEKAI	InChI=1S/C44H87NO8/c1-3-5-7-9-11-13-15-17-18-19-20-22-24-26-28-30-32-34-40(48)45-37(36-52-44-43(51)42(50)41(49)39(35-46)53-44)38(47)33-31-29-27-25-23-21-16-14-12-10-8-6-4-2/h37-39,41-44,46-47,49-51H,3-36H2,1-2H3,(H,45,48)	N-(eicosanoyl)-1-beta-glucosyl-sphinganine	CCCCCCCCCCCCCCCCCCCC(=O)NC(COC1C(C(C(C(O1)CO)O)O)O)C(CCCCCCCCCCCCCCC)O	14.0	6321365;10259548;18781911;52931275;73349851;70183709;90659806;90659807;134741471	COCONUT:(CNP0082402);PubChem:(6321365 10259548 18781911 52931275 73349851 70183709 90659806 90659807 134741471);PubMed;CHEBI:(84703 84704);PubChem class - bio and metabolites	18874466	722.6306	270.89	3952_CARA_C18_pos_SIRIUS_6683
663	3	3	N/A	-98.52546971779572	0.984422110552764	39.65019872531471	C24H46O5	[M + H]+	ZYQZGITUNBGFID	InChI=1S/C24H46O5/c1-3-5-7-9-10-11-12-13-15-16-18-23(26)28-21-22(20-25)29-24(27)19-17-14-8-6-4-2/h22,25H,3-21H2,1-2H3	null	CCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC	8.10000038	131802186	HMDB:(93139);PubChem:(131802186);PubChem class - bio and metabolites	16777226	415.3391	66.862	887_CARA_C18_pos_SIRIUS_13173
664	3	2	N/A	-173.33271911936936	0.061809045226130656	9.657218215616883	C32H54N6O7	[M - H2O + H]+	RQCUMDRLAXJWLZ	InChI=1S/C32H54N6O7/c1-18(2)15-25(36-28(40)23(34)17-21-10-12-22(39)13-11-21)29(41)37-26(16-19(3)4)30(42)38-27(20(5)6)31(43)35-24(32(44)45)9-7-8-14-33/h10-13,18-20,23-27,39H,7-9,14-17,33-34H2,1-6H3,(H,35,43)(H,36,40)(H,37,41)(H,38,42)(H,44,45)	null	CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)O)NC(=O)C(CC1=CC=C(C=C1)O)N	1.97837138	""	COCONUT:(CNP0166752);Natural Products:(UNPD13050);SuperNatural:(SN00386987)	3178496	617.4031	103.271	3639_CARA_C18_pos_SIRIUS_2505
665	3	3	N/A	-225.70855850944625	0.9999999999999999	37.16032637360141	C42H81NO4	[M - H4O2 + H]+	LFXYMUVNQLVMDF	InChI=1S/C42H81NO4/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-25-27-29-31-33-35-37-41(46)42(47)43-39(38-44)40(45)36-34-32-30-28-26-24-16-14-12-10-8-6-4-2/h26,28,34,36,39-41,44-46H,3-25,27,29-33,35,37-38H2,1-2H3,(H,43,47)	null	CCCCCCCCCCCCCCCCCCCCCCC(C(=O)NC(CO)C(C=CCCC=CCCCCCCCCC)O)O	15.5	25245539;90657887;134812550	COCONUT:(CNP0067982);PubChem:(25245539 90657887 134812550);SuperNatural:(SN00215554);Biocyc:(CPD-8441)	3147778	628.5984	289.459	3272_CARA_C18_pos_SIRIUS_275
666	2	2	N/A	-89.90306050865604	0.9814070351758795	24.247730333554358	C42H83NO4	[M + H]+	WAYLDHLWVYQNSQ	InChI=1S/C42H83NO4/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-25-27-29-31-33-35-37-41(46)42(47)43-39(38-44)40(45)36-34-32-30-28-26-24-16-14-12-10-8-6-4-2/h34,36,39-41,44-46H,3-33,35,37-38H2,1-2H3,(H,43,47)	Ceramide 5	CCCCCCCCCCCCCCCCCCCCCCC(C(=O)NC(CO)C(C=CCCCCCCCCCCCCC)O)O	16.5	11636054;54421250;72715765;76308629;76959838;138319182	COCONUT:(CNP0125793);Natural Products:(UNPD48954 UNPD22788);PubChem:(11636054 54421250 72715765 76308629 76959838 138319182);SuperNatural:(SN00268451 SN00301158);CHEBI:(76756);additional;Training Set;PubMed;Biocyc:(CPD-21997)	3721314	666.6387	216.126	6845_CARA_C18_pos_SIRIUS_2990
667	2	2	N/A	-213.39084416351795	0.9999999999999999	50.39729809271926	C32H60O4	[M + H3N + H]+	XYUDXTNFYVPYQU	InChI=1S/C32H60O4/c1-3-5-7-8-9-10-11-12-13-14-19-22-25-29-32(35)36-30(26-6-4-2)27-23-20-17-15-16-18-21-24-28-31(33)34/h10-11,30H,3-9,12-29H2,1-2H3,(H,33,34)	null	CCCCCCC=CCCCCCCCC(=O)OC(CCCC)CCCCCCCCCCC(=O)O	12.1999998	126457358	HMDB:(112160);PubChem:(126457358);PubChem class - bio and metabolites	16777226	526.4802	199.506	2839_CARA_C18_pos_SIRIUS_4242
668	4	1	N/A	-585.842006013135	0.016582914572864323	7.349866891471527	C46H75N3O6	[M - H2O + H]+	IZHOERBUYBNPRT	InChI=1S/C46H74N3O6/c1-5-6-8-12-33-16-17-36(43(52)26-33)13-9-7-10-14-39(45(53)54)42(51)18-20-46(55)30-35(24-34-19-21-48-44(47)27-34)25-37(46)28-38-29-40(32(4)23-31(2)3)41(49-38)15-11-22-50/h16-17,19,21,27,29,31-33,35-37,39,42-43,50-52,55H,5-15,18,20,22-26,28,30H2,1-4H3,(H2,47,48)(H,53,54)/q-1	null	CCCCCC1CC(C(C=C1)CCCCCC(C(CCC2(CC(CC2CC3=CC(=C([N-]3)CCCO)C(C)CC(C)C)CC4=CC(=NC=C4)N)O)O)C(=O)O)O	0.0	""	COCONUT:(CNP0008590)	2097152	748.5557	170.417	386_CARA_C18_pos_SIRIUS_16659
669	2	2	N/A	-285.9174614695694	0.49045226130653274	14.766811503026515	C43H77NO9	[M - H4O2 + H]+	FWPRXLLJDAFCIU	InChI=1S/C43H77NO9/c1-4-6-8-10-12-13-14-15-16-17-18-20-22-26-31-37(47)42(51)44-35(33-52-43-41(50)40(49)39(48)38(32-45)53-43)36(46)30-27-23-25-29-34(3)28-24-21-19-11-9-7-5-2/h24,26-31,35-41,43,45-50H,4-23,25,32-33H2,1-3H3,(H,44,51)	null	CCCCCCCCCCCCCCC=CC(C(=O)NC(COC1C(C(C(C(O1)CO)O)O)O)C(C=CCCC=C(C)C=CCCCCCCC)O)O	10.6000004	45271338;51039483;139587585	COCONUT:(CNP0415798);Natural Products:(UNPD71248);PubChem:(45271338 51039483 139587585);SuperNatural:(SN00344915);PubMed	3178562	716.5482	67.97	1326_CARA_C18_pos_SIRIUS_1397
670	4	1	N/A	-390.79529748193926	0.06432160804020101	14.7144826687049	C31H56N4O5	[M + H3N + H]+	ITUSJZWJFWOPPP	InChI=1S/C31H56N4O5/c1-22-28(37)10-9-26(35-22)8-7-24(19-32-3)15-23-5-4-6-27-17-30(2,13-14-33-27)34-21-31(40,18-29(38)39)12-11-25(16-23)20-36/h22-28,32-37,40H,6-21H2,1-3H3,(H,38,39)	null	CC1C(CCC(N1)CCC(CC2CC(CCC(CNC3(CCNC(C3)CC#C2)C)(CC(=O)O)O)CO)CNC)O	2.63241959	""	COCONUT:(CNP0058460 CNP0084659 CNP0100785)	2097152	582.4547	148.034	3772_CARA_C18_pos_SIRIUS_23512
671	3	3	N/A	-70.69075260518937	0.9999999999999999	73.45603227892867	C40H76O3	[M + H3N + H]+	XDWMAYJDCHDUGV	InChI=1S/C40H76O3/c1-3-5-7-9-10-11-12-13-14-15-16-17-18-19-20-23-26-29-33-37-40(42)43-38-34-30-27-24-21-22-25-28-32-36-39(41)35-31-8-6-4-2/h13-14,28,32,39,41H,3-12,15-27,29-31,33-38H2,1-2H3	(Z)-12-Hydroxyoctadec-9-enyl (R-(Z))-docos-13-enoate	CCCCCCCCC=CCCCCCCCCCCCC(=O)OCCCCCCCCC=CCC(CCCCCC)O	16.1000004	56842674;76419324;99121520	PubChem:(56842674 76419324 99121520);NORMAN:(NS00057605)	262146	622.6105	269.083	1015_CARA_C18_pos_SIRIUS_4879
672	3	7	N/A	-65.73952617001834	0.8814070351758794	15.23974259869568	C30H50O2	[M - H4O2 + H]+	NLLPMIYFZGOMOU	InChI=1S/C30H50O2/c1-25(2)19-11-17-29(7)21(27(19,5)15-13-23(25)31)9-10-22-28(6)16-14-24(32)26(3,4)20(28)12-18-30(22,29)8/h9,19-20,22-24,31-32H,10-18H2,1-8H3	null	CC1(C2CCC3(C(C2(CCC1O)C)CC=C4C3(CCC5C4(CCC(C5(C)C)O)C)C)C)C	7.80000019	12313735;101686483;101702476	COCONUT:(CNP0273451);Natural Products:(UNPD145348);PubChem:(12313735 101686483 101702476);SuperNatural:(SN00347642)	3178498	407.3641	106.097	1959_CARA_C18_pos_SIRIUS_20715
673	1	1	N/A	-138.40394153471541	0.9999999999999999	26.826663988397023	C28H52O4	[M + H3N + H]+	FYGCQLMWUXKLRM	InChI=1S/C28H52O4/c1-7-9-10-11-12-13-21-32-28(31)25(6)16-14-15-24(5)27(30)20-18-22(3)17-19-26(29)23(4)8-2/h17,23-25,27,30H,7-16,18-21H2,1-6H3	null	CCCCCCCCOC(=O)C(C)CCCC(C)C(CCC(=CCC(=O)C(C)CC)C)O	8.42375183	""	COCONUT:(CNP0318315);Natural Products:(UNPD7846);SuperNatural:(SN00250900)	3178496	470.4185	171.997	7077_CARA_C18_pos_SIRIUS_8290
674	3	4	N/A	-35.207500266537075	0.10301507537688442	31.06236767539209	C12H24O2	[M - H4O2 + H]+	QJRRBVNPIKYRQJ	InChI=1S/C12H24O2/c1-11(2)9-7-5-3-4-6-8-10-12(13)14/h11H,3-10H2,1-2H3,(H,13,14)	isolauric acid	CC(C)CCCCCCCCC(=O)O	4.13898897	75942;17820722	COCONUT:(CNP0055011 CNP0279215);Natural Products:(UNPD18767);PubChem:(75942 17820722);SuperNatural:(SN00002585 SN00306062);CHEBI:(84889);ZINC bio:(ZINC01841074);additional;PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set	87613474	165.1619	64.242	4514_CARA_C18_pos_SIRIUS_14704
675	4	2	N/A	-111.13544077996653	0.30201005025125627	37.54709114780572	C19H37NO3	[M + H3N + H]+	AEKJBHKVBQSNGN	InChI=1S/C19H37NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-18(21)20-17-19(22)23/h2-17H2,1H3,(H,20,21)(H,22,23)	acylglycine c:17	CCCCCCCCCCCCCCCCC(=O)NCC(=O)O	7.0	17937508	COCONUT:(CNP0048627);HMDB:(13246);PubChem:(17937508);CHEBI:(137268)	2097194	345.3108	196.411	1028_CARA_C18_pos_SIRIUS_13136
676	1	1	N/A	-125.15676152929043	0.9653266331658291	13.673734683699747	C23H48N2O3	[M - H2O + H]+	ODOPLSJHUSYCFN	InChI=1S/C23H48N2O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-23(28)24-17-15-18-25(19-21-26)20-22-27/h26-27H,2-22H2,1H3,(H,24,28)	N-Palmitoylamidopropyl-N,N-bis(2-hydroxyethyl)amine	CCCCCCCCCCCCCCCC(=O)NCCCN(CCO)CCO	5.9000001	105307	PubChem:(105307);NORMAN:(NS00035964)	262146	383.3629	50.077	3230_CARA_C18_pos_SIRIUS_11198
677	4	3	N/A	-184.4185311675683	0.06733668341708543	4.379752008029005	C40H74O8	[M + H3N + H]+	HELWGTVMBINIPJ	InChI=1S/C40H74O8/c1-3-5-13-21-33(41)29-35(43)23-15-7-9-17-25-37(45)31-39(47)27-19-11-12-20-28-40(48)32-38(46)26-18-10-8-16-24-36(44)30-34(42)22-14-6-4-2/h33-34,37-38,41-42,45-46H,3-32H2,1-2H3	null	CCCCCC(CC(=O)CCCCCCC(CC(=O)CCCCCCC(=O)CC(CCCCCCC(=O)CC(CCCCC)O)O)O)O	9.45169544	""	COCONUT:(CNP0340768)	2097152	700.569	195.08	6764_CARA_C18_pos_SIRIUS_28113
678	1	1	N/A	-122.46705376926954	0.9999999999999999	41.97474666328747	C36H72O3	[M + H3N + H]+	UGJBFCXWPCFKSG	InChI=1S/C36H72O3/c1-3-5-7-9-10-11-12-13-14-15-16-17-20-23-26-30-34-39-36(38)33-29-25-22-19-18-21-24-28-32-35(37)31-27-8-6-4-2/h35,37H,3-34H2,1-2H3	Stearyl 12-hydroxystearate	CCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCC(CCCCCC)O	15.5	169819	PubChem:(169819);NORMAN:(NS00057443)	262146	570.5784	278.975	43_CARA_C18_pos_SIRIUS_33045
679	3	2	N/A	-362.5399107690655	0.010552763819095479	2.8806294606009084	C42H64N2O2	[M - H2O + H]+	HWQYDCKVSGVGAQ	InChI=1S/C42H64N2O2/c1-27(2)29-11-15-33-31(25-29)13-17-35-39(33,5)19-9-21-41(35,7)37(45)43-23-24-44-38(46)42(8)22-10-20-40(6)34-16-12-30(28(3)4)26-32(34)14-18-36(40)42/h13-14,25-28,33-36H,9-12,15-24H2,1-8H3,(H,43,45)(H,44,46)	N,N''-ethane-1,2-diylbisabieta-7,13-dien-18-amide	CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)NCCNC(=O)C4(CCCC5(C4CC=C6C5CCC(=C6)C(C)C)C)C)C	8.80000019	4412417;7567502;11908533;11908534;11908535;124766993;124766994;124766995	PubChem:(4412417 7567502 11908533 11908534 11908535 124766993 124766994 124766995);COCONUT:(CNP0010439)	2097154	611.4916	177.422	3248_CARA_C18_pos_SIRIUS_24444
680	4	4	N/A	-113.00822681045365	0.9999999999999999	118.17090350449399	C13H22O2	[M + H3N + H]+	WJLRHDFJRFVDLR	InChI=1S/C13H22O2/c1-12(2)10-8-6-4-3-5-7-9-11-13(14)15/h5,7,9,11-12H,3-4,6,8,10H2,1-2H3,(H,14,15)	null	CC(C)CCCCCC=CC=CC(=O)O	4.5999999	9855842;85054046	PubChem:(9855842 85054046);KEGG Mine;PubChem class - bio and metabolites	8606711810	228.1951	110.802	6998_CARA_C18_pos_SIRIUS_243
681	3	3	N/A	-127.04657733569779	0.835175879396985	31.583003517189997	C42H80O5	[M + H3N + H]+	SHYXNKCINZKAKS	InChI=1S/C42H80O5/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-24-25-27-29-31-33-35-37-42(45)47-40(38-43)39-46-41(44)36-34-32-30-28-26-16-14-12-10-8-6-4-2/h17-18,40,43H,3-16,19-39H2,1-2H3	Diacylglycerol(15:0/24:1)	CCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCCC=CCCCCCCCC	16.8999996	53478023;134766684	COCONUT:(CNP0025262);HMDB:(7094);PubChem:(53478023 134766684);SuperNatural:(SN00216934);PubChem class - bio and metabolites	19922954	682.6331	250.719	53_CARA_C18_pos_SIRIUS_922
682	4	4	N/A	-80.17731745688842	0.9999999999999999	54.90510747182573	C14H24O2	[M + H3N + H]+	MWCVRFWPJVJKHE	InChI=1S/C14H24O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-4,7-13H2,1H3,(H,15,16)	9-Tetradecynoic acid	CCCCC#CCCCCCCCC(=O)O	4.74729109	5312711	PubChem:(5312711);PubChem class - safety and toxic	67108866	242.2105	104.087	3410_CARA_C18_pos_SIRIUS_1056
683	3	1	N/A	-155.8506936183906	0.9834170854271357	39.14764899385309	C44H87NO8	[M - H4O2 + H]+	JMHGBISEAGEKAI	InChI=1S/C44H87NO8/c1-3-5-7-9-11-13-15-17-18-19-20-22-24-26-28-30-32-34-40(48)45-37(36-52-44-43(51)42(50)41(49)39(35-46)53-44)38(47)33-31-29-27-25-23-21-16-14-12-10-8-6-4-2/h37-39,41-44,46-47,49-51H,3-36H2,1-2H3,(H,45,48)	N-(eicosanoyl)-1-beta-glucosyl-sphinganine	CCCCCCCCCCCCCCCCCCCC(=O)NC(COC1C(C(C(C(O1)CO)O)O)O)C(CCCCCCCCCCCCCCC)O	14.0	6321365;10259548;18781911;52931275;73349851;70183709;90659806;90659807;134741471	COCONUT:(CNP0082402);PubChem:(6321365 10259548 18781911 52931275 73349851 70183709 90659806 90659807 134741471);PubMed;CHEBI:(84703 84704);PubChem class - bio and metabolites	18874466	722.6342	269.728	6125_CARA_C18_pos_SIRIUS_639
684	3	3	N/A	-32.84568042092784	0.571859296482412	42.71640952776309	C38H72O5	[M - H2O + H]+	DICYCLUXEYFAQX	InChI=1S/C38H72O5/c1-3-5-7-9-11-13-15-17-18-19-20-21-23-25-27-29-31-33-38(41)43-36(34-39)35-42-37(40)32-30-28-26-24-22-16-14-12-10-8-6-4-2/h17-18,36,39H,3-16,19-35H2,1-2H3	Diacylglycerol(15:0/20:1)	CCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCC=CCCCCCCCC	14.6999998	53478008;134726761;138143642	COCONUT:(CNP0041900);HMDB:(7079);PubChem:(53478008 134726761 138143642);SuperNatural:(SN00216919);PubChem class - bio and metabolites	19922954	591.5322	247.532	3792_CARA_C18_pos_SIRIUS_34714
685	3	3	N/A	-253.97594881415782	0.9899497487437188	140.6851528494387	C38H71NO4	[M - H4O2 + H]+	IBQLHKWKIJLREV	InChI=1S/C38H71NO4/c1-4-6-8-10-12-14-16-18-19-21-23-25-27-29-31-33-38(42)43-34-36(39-35(3)40)37(41)32-30-28-26-24-22-20-17-15-13-11-9-7-5-2/h18-19,30,32,36-37,41H,4-17,20-29,31,33-34H2,1-3H3,(H,39,40)	1-O-oleoyl-NAS	CCCCCCCCCCCCCC=CC(C(COC(=O)CCCCCCCC=CCCCCCCCC)NC(=O)C)O	13.6000004	71768165	PubChem:(71768165);CHEBI:(76054)	34	570.5234	262.081	5611_CARA_C18_pos_SIRIUS_842
686	3	3	N/A	-150.36477639915026	0.9999999999999999	22.964139621621207	C26H50O3	[M + H]+	ZMAFZZRHIFKNLZ	InChI=1S/C26H50O3/c1-3-5-7-9-16-20-24-29-26(28)23-19-15-13-11-10-12-14-18-22-25(27)21-17-8-6-4-2/h14,18,25,27H,3-13,15-17,19-24H2,1-2H3	Octyl (R)-12-hydroxyoleate	CCCCCCCCOC(=O)CCCCCCCC=CCC(CCCCCC)O	9.5	5744204;6433013;20837986;54554205;73716841;98474361	PubChem:(5744204 6433013 20837986 54554205 73716841 98474361);NORMAN:(NS00063002)	262146	411.3829	169.925	67_CARA_C18_pos_SIRIUS_7216
687	3	2	N/A	-181.8948581656312	0.0914572864321608	5.56259050021521	C26H50O8	[M - H4O2 + H]+	JOQZJJZBJBXADU	InChI=1S/C26H50O8/c1-2-3-4-5-6-7-8-9-10-13-16-20(17-14-11-12-15-18-22(28)29)33-26-25(32)24(31)23(30)21(19-27)34-26/h20-21,23-27,30-32H,2-19H2,1H3,(H,28,29)	null	CCCCCCCCCCCCC(CCCCCCC(=O)O)OC1C(C(C(C(O1)CO)O)O)O	5.80000019	102025025	COCONUT:(CNP0397173);Natural Products:(UNPD183487);PubChem:(102025025);SuperNatural:(SN00402034)	3178498	455.3329	65.749	5365_CARA_C18_pos_SIRIUS_13995
